SP Narine,3.21
AD Russell,3.38
BB McCullum,4.18
MM Ali,4.25
N Pooran,4.28
AB de Villiers,4.35
CH Gayle,4.37
DR Smith,4.38
JC Buttler,4.6
CA Lynn,4.62
HH Pandya,4.63
PP Shaw,4.64
RR Pant,4.68
PA Patel,4.74
CH Morris,4.77
KA Pollard,4.85
HM Amla,4.91
JM Bairstow,4.95
SR Watson,5.06
DA Warner,5.06
KH Pandya,5.08
SN Khan,5.1
Q de Kock,5.11
GJ Maxwell,5.13
E Lewis,5.21
N Rana,5.27
RV Uthappa,5.27
SA Yadav,5.3
AJ Finch,5.32
Ishan Kishan,5.33
MA Agarwal,5.45
KL Rahul,5.45
RA Tripathi,5.46
SE Marsh,5.53
S Dhawan,5.57
Yuvraj Singh,5.57
KD Karthik,5.57
RG Sharma,5.59
LMP Simmons,5.71
DJ Bravo,5.77
R Tewatia,5.81
KK Nair,5.87
MK Tiwary,5.88
SK Raina,5.89
SW Billings,5.9
M Vohra,5.93
MP Stoinis,5.96
YK Pathan,6.02
BA Stokes,6.04
SV Samson,6.07
SS Tiwary,6.07
C de Grandhomme,6.11
WP Saha,6.12
F du Plessis,6.16
EJG Morgan,6.17
KS Williamson,6.18
V Kohli,6.25
G Gambhir,6.26
AM Rahane,6.3
AT Rayudu,6.31
SS Iyer,6.34
D Padikkal,6.34
KM Jadhav,6.37
M Vijay,6.44
STR Binny,6.54
SPD Smith,6.54
Mandeep Singh,6.61
MS Dhoni,6.61
MC Henriques,6.62
P Negi,6.63
Shubman Gill,6.72
Gurkeerat Singh,6.95
MK Pandey,7.0
GJ Bailey,7.02
Shakib Al Hasan,7.04
DA Miller,7.16
AR Patel,7.25
RA Jadeja,7.28
V Shankar,7.33
JP Duminy,7.37
DJ Hooda,7.85
NV Ojha,9.82
