DA Warner,53.08
KL Rahul,50.22
V Kohli,47.04
AB de Villiers,45.77
HM Amla,44.38
JM Bairstow,41.58
MS Dhoni,41.16
JP Duminy,40.06
KS Williamson,39.49
S Dhawan,36.21
RR Pant,35.24
JC Buttler,34.98
CH Gayle,34.98
YK Pathan,34.88
CA Lynn,34.74
Q de Kock,34.62
LMP Simmons,34.25
F du Plessis,34.06
SPD Smith,33.98
Shubman Gill,33.54
SS Tiwary,33.38
G Gambhir,32.81
MK Pandey,32.58
N Pooran,32.56
AM Rahane,32.54
KA Pollard,32.52
AT Rayudu,32.48
AD Russell,32.38
R Tewatia,31.82
D Padikkal,31.53
SS Iyer,31.43
SA Yadav,30.49
RG Sharma,30.22
SK Raina,30.04
HH Pandya,29.98
MC Henriques,29.84
V Shankar,29.73
SE Marsh,29.65
EJG Morgan,29.37
Ishan Kishan,28.83
MK Tiwary,28.53
MP Stoinis,28.45
SV Samson,28.32
N Rana,27.63
RA Jadeja,27.52
KD Karthik,27.45
SR Watson,27.19
M Vijay,27.07
E Lewis,26.88
BB McCullum,26.87
BA Stokes,26.29
SN Khan,25.94
RV Uthappa,25.65
CH Morris,25.57
DA Miller,25.37
RA Tripathi,25.33
DR Smith,25.32
AJ Finch,24.82
PA Patel,24.78
KH Pandya,24.39
Gurkeerat Singh,24.38
Mandeep Singh,24.11
WP Saha,23.5
MA Agarwal,23.31
KM Jadhav,23.31
KK Nair,23.29
GJ Bailey,22.87
Yuvraj Singh,21.93
PP Shaw,21.74
MM Ali,20.6
Shakib Al Hasan,19.95
M Vohra,19.52
AR Patel,19.34
C de Grandhomme,18.94
DJ Bravo,18.64
GJ Maxwell,18.59
SP Narine,18.13
SW Billings,17.58
DJ Hooda,16.89
STR Binny,15.67
NV Ojha,14.12
P Negi,13.71
